rowNumber,Seat: Name,Org: Name,Advertiser: Name,Campaign: Name,Impressions,Internal Expense,Expense
1,ACS Gaming,ACS,Affinity,Colt Ford,65,$0.02 ,$0.02 
2,ACS Gaming,ACS,Affinity,Geraldo Ortiz,146474,$359.34 ,$449.13 
3,ACS Gaming,ACS,Affinity,Los Inquietos Del Norte,260665,$640.20 ,$800.17 
4,ACS Gaming,ACS,Affinity,LS - Raelynn,58392,$134.27 ,$167.81 
5,ACS Gaming,ACS,Affinity,Morris Day and The Time,201787,$462.91 ,$578.56 
6,ACS Gaming,ACS,Affinity,MT - ETG,568576,"$1,239.34 ","$1,548.98 "
7,ACS Gaming,ACS,Affinity,PV - Blues Traveler,1855,$4.70 ,$5.87 
8,ACS Gaming,ACS,Affinity,PV - Brian McKnight,93693,$234.61 ,$293.22 
9,ACS Gaming,ACS,Affinity,PV - Gas/Concert Ticket $30 get $10 FP,11290,$32.94 ,$41.17 
10,ACS Gaming,ACS,Affinity,PV - George Thorogood,122628,$354.42 ,$442.98 
11,ACS Gaming,ACS,Affinity,PV - Gladys Knight,10,$0.00 ,$0.00 
12,ACS Gaming,ACS,Affinity,S7 - Hotel,109873,$616.94 ,$771.15 
13,ACS Gaming,ACS,Affinity,S7 - Late Night Specials,70,$0.01 ,$0.01 
14,ACS Gaming,ACS,Affinity,S7 - Late Night Specials Restart,279474,$640.33 ,$800.32 
15,ACS Gaming,ACS,Affinity,S7 - Spend $30 Get $10,17471,$42.51 ,$53.13 
16,ACS Gaming,ACS,Affinity,The Bob & Tom Comedy Show,113629,$284.58 ,$355.69 
17,ACS Gaming,ACS,Affinity,Thompson Square,5605,$12.62 ,$15.77 
18,ACS Gaming,ACS,Affinity,Three Dog Night,2,$0.00 ,$0.00 
19,ACS Gaming,ACS,AguaCaliente,100000 Multiply Your Money,522235,"$1,200.22 ","$1,500.09 "
20,ACS Gaming,ACS,AguaCaliente,HitTheDirt,155,$0.12 ,$0.14 
21,ACS Gaming,ACS,AguaCaliente,IndyCar,98,$0.08 ,$0.10 
22,ACS Gaming,ACS,AguaCaliente,Keys 2 Kash,100,$0.09 ,$0.12 
23,ACS Gaming,ACS,AguaCaliente,Queenryche,3,$0.00 ,$0.00 
24,ACS Gaming,ACS,AguaCaliente,silversun,266107,$771.77 ,$964.63 
25,ACS Gaming,ACS,BlackOak,1000 Free Play Two Night Contest,7,$0.01 ,$0.01 
26,ACS Gaming,ACS,BlackOak,125 25 25,295,$0.14 ,$0.18 
27,ACS Gaming,ACS,BlackOak,Chef Ryan Scott,127,$0.08 ,$0.10 
28,ACS Gaming,ACS,BlackOak,Cinco De Mayo,86711,$211.45 ,$264.29 
29,ACS Gaming,ACS,BlackOak,Drone Show,192908,$477.19 ,$596.43 
